-0.76,15.67,-0.12,15.67
-0.48,12.52,-0.06,12.51
1.33,9.11,0.12,9.1
-0.88,20.35,-0.18,20.36
-0.25,3.99,-0.01,3.99
-0.87,26.25,-0.23,26.25
-1.03,2.87,-0.03,2.87
-0.51,7.81,-0.04,7.81
-1.57,14.46,-0.23,14.46
-0.1,10.02,-0.01,10.02
-0.56,8.92,-0.05,8.92
-1.2,4.1,-0.05,4.1
-0.77,5.15,-0.04,5.15
-0.88,4.48,-0.04,4.48
-2.7,10.82,-0.3,10.82
-1.23,2.4,-0.03,2.4
-0.77,5.16,-0.04,5.15
-0.76,15.67,-0.12,15.67
-0.81,6.15,-0.05,6.15
-0.6,5.01,-0.03,5
-1.25,4.75,-0.06,4.75
-25.3,7.31,-0.19,7.3
-1.15,16.39,-0.19,16.39
-1.7,5.19,-0.09,5.18
-0.62,3.23,-0.02,3.22
-0.74,17.43,-0.13,17.41
-0.77,15.41,-0.12,15.41
0,47,0,47.01
0.25,3.98,0.01,3.98
-1.1,9.01,-0.1,9.01
-1.02,3.87,-0.04,3.87
